dataset n_systems n_body max_deg r0 rcutof wL csp
a-Hfo2-300K-NVT.extxyz 2000 2 3 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 2 4 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 2 5 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 2 6 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 3 3 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 3 4 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 3 5 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 3 6 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 4 3 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 4 4 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 4 5 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 4 6 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 5 3 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 5 4 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 5 5 1 5 1 1
a-Hfo2-300K-NVT.extxyz 2000 5 6 1 5 1 1
